NombrePignorante,fc_trans,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,num_arms,faltas,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,dummy_choose_same3,dummy_trabajo9,pro_2,reincidence,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-919802276126e7,4812.612933333333,5514252,0,0,0,1,0,0,0,1,0,0,0,0,1983.3333333333333,80,47,1,0.42857143,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0.041602203320456714,4.1096861622727754e-4,0.587448570452735
-917645643954e7,2077.99,5514144,0,0,0,1,0,0,0,1,0,0,0,0,1970,100,49,1,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0.029507849978888685,5.504777242222168e-4,0.6075448446346348
-916516169086e7,1481.4156,3595471,0,0,0,0,0,1,1,0,0,0,0,0,1360,100,48,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0.003689666649038379,0.0012076167966075981,0.5333503946970197
-91606667828e8,3571.4285,78132464,0,0,0,0,1,0,0,0,0,1,0,0,2080,0,54,1,0.71428573,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0.008702892941546206,4.2111627574577585e-4,0.5130789368996886
-915634713117e7,668.59003,78133121,0,0,0,1,0,0,0,0,0,1,0,0,480,100,45,2,0.2857143,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.017982004030771635,4.4031387570377047e-4,0.5627148341885074
-910705168816e7,646.22998,5522747,0,0,0,0,1,0,0,1,0,0,0,0,380,100,40,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.02402057343873783,0.001135263773345432,0.5986590880155935
-908821747816e7,10233.427,80117247,0,0,0,1,0,0,0,0,0,0,1,0,1900,100,72,1,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0.012991286871522057,2.4129331914510814e-4,0.5001754715756455
-908131838248e7,3035.4531,80118911,0,1,0,0,0,0,0,0,0,0,1,0,1200,50,60,1,0.2857143,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0.005722282437861225,4.3571682689473205e-4,0.4925580986612164
-907261225358e7,2134.8945,3595411,0,0,1,0,0,0,1,0,0,0,0,0,690,100,33,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0.003618787073005606,0.0020001834732567988,0.5856580525260647
-9.0665660440399995e+018,214.28572,5514273,0,0,0,0,1,0,0,1,0,0,0,0,50,100,47,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0.02465635535433948,0.0010736737033351451,0.6652104134769844
-905397584862e7,7142.8569,78132482,0,0,0,0,1,0,0,0,0,1,0,0,3720,100,39,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,-0.002633628406361737,4.753973407345341e-4,0.5025897911427234
-902248674659e7,6192.049166666667,3591867,0,0,1,0,0,0,1,0,0,0,0,0,1076.6666666666667,100,45,1,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,-0.0063335708321343815,0.0025046776629695285,0.5469817874534701
-90181022276e8,819.29004,80117884,0,0,0,0,0,1,0,0,0,0,1,0,610,100,42,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0.021728982560643498,4.461050985045414e-4,0.5237097765637834
-896701191091e7,2616.9907,80118618,0,0,1,0,0,0,0,0,0,0,1,0,800,100,46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.017033259031791922,5.388503786252186e-4,0.5898481395434316
-889904417702e7,741.23004,3595237,0,1,0,0,0,0,1,0,0,0,0,0,550,100,37,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0.014799274718544883,0.0010873988945022386,0.4985314497704171
-8.8915331086000005e+018,2027.88,42125786,0,0,0,0,1,0,0,0,1,0,0,0,1530,100,30,1,0.14285715,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.023262654178031385,1.7972723439541678e-4,0.5679942363449174
-888315713377e7,787.91992,78133246,1,0,0,0,0,0,0,0,0,1,0,0,450,100,60,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0.013686889253758997,6.403492376905724e-4,0.5404049966822085
-887105422019e7,2550.7744,3594345,0,0,1,0,0,0,1,0,0,0,0,0,910,90,29,1,0.14285715,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.0011484149431721063,4.5304148868452807e-4,0.5139452295780602
-880112004998e7,2142.8572,78134335,0,0,0,1,0,0,0,0,0,1,0,0,1280,90,37,1,0.2857143,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0.017004711196686395,7.071883445025287e-4,0.49577313998067685
-8.7271887025999995e+018,13412.492,3595416.5,0,0,1,0,0,0,1,0,0,0,0,0,3860,100,37,1,0.2857143,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0.0036312491953060604,0.0013947782846633592,0.5265302574503236
-871963952293e7,1428.5714,5522692,0,0,1,0,0,0,0,1,0,0,0,0,780,30,56,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0.015429787722022118,0.0012097552895177987,0.6251249648729754
-868683694237e7,6448.7749,5514230.5,0,0,1,0,0,0,0,1,0,0,0,0,5155,90,48,1,0.2857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0.003820882222284136,3.3343761948312133e-4,0.5182034845588372
-862202788211e7,10595.1869,42125177.5,0,0,0,0,0,1,0,0,1,0,0,0,3850,95,62,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.003508654432203832,7.019082089195278e-4,0.5094923963466483
-8.5667613907599995e+018,2857.1428,80116972,1,0,0,0,0,0,0,0,0,0,1,0,1060,100,25,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0.004487111423364961,4.1312438131363107e-4,0.5584829810313674
-855914645521e7,5353.4155,5522908.5,0,0,0,1,0,0,0,1,0,0,0,0,1715,100,44,1,0.2857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0.04012236605470882,0.0015724744561967888,0.5955537802311958
-844605529017e7,2185.2971,80117604,0,0,1,0,0,0,0,0,0,0,1,0,430,100,24,1,0.2857143,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.01065682392446274,0.0023571383785312688,0.5708382869722344
-843613528974e7,2941.11795,80117229.5,0,0,0,1,0,0,0,0,0,0,1,0,640,100,59,1,0.85714287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.01381133396813469,4.5895088490287706e-4,0.4792194104056954
-837534911153e7,2334.3186,3591950,0,0,0,0,1,0,1,0,0,0,0,0,460,70,39,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.014730847373888535,0.0020888199840379948,0.4997080430961831
-834111178427e7,2142.8572,80118429,0,1,0,0,0,0,0,0,0,0,1,0,750,100,50,1,0.71428573,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.014076783703201078,3.0368501184338266e-4,0.47928454943281873
-826140802688e7,7625.7603,10462501,0,0,0,0,1,0,0,0,0,0,0,1,2500,100,53,2,0.14285715,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0.013635419452796687,0.0020523496366439517,0.4187806511236457
-824291165954e7,7142.8569,10463579,0,1,0,0,0,0,0,0,0,0,0,1,5500,100,53,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.0015952956098410059,0.001173158429645085,0.3971109619199954
-823485362889e7,1312.9219,42126569,0,0,0,0,1,0,0,0,1,0,0,0,330,100,55,1,0.2857143,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.020042040300292736,3.189790816513723e-4,0.5732235169212017
-821801480267e7,4083.3088500000003,78133137.5,0,0,0,1,0,0,0,0,0,1,0,0,1030,100,28,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0.01943579247680157,1.91654972387455e-4,0.4934468146947339
-820813963544e7,9913.273825,42125108.5,0,0,1,0,0,0,0,0,1,0,0,0,2090,100,45,1,0.2857143,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0.008674331588223894,1.851073644782303e-4,0.5178694621677031
-820745823235e7,4809.4304,80116849.5,0,0,1,0,0,0,0,0,0,0,1,0,3180,100,39,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.006944505297476831,9.43961054204735e-4,0.5582752280850579
-8.1307218869199995e+018,5714.2856,42126068,0,0,0,1,0,0,0,0,1,0,0,0,3910,95,43,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0.023132180684323395,8.120250036041647e-4,0.5210622150563964
-811769389977e7,1388.54,5520287,0,0,0,0,0,1,0,1,0,0,0,0,820,100,46,1,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0.01675671587146024,6.967840458719888e-4,0.6390470274751502
-807387652936e7,16691.144500000002,80118432.5,0,1,0,0,0,0,0,0,0,0,1,0,4150,90,48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0.006583541289220415,2.0223871345786978e-4,0.4762430743568838
-807029717627e7,4880.829966666667,78134187,0,0,0,0,0,1,0,0,0,1,0,0,3636.6666666666665,100,32,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0.0018894419806172189,3.998722053034262e-4,0.5417268123259106
-802326196355e7,541.39001,5520101,0,0,0,1,0,0,0,1,0,0,0,0,380,90,22,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0.01450772921790448,3.2405220438096465e-4,0.6679050757717057
-802124024141e7,2462.4449999999997,78134291.5,0,0,1,0,0,0,0,0,0,1,0,0,2185,100,50,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,-0.0026325712102067095,2.0405362912360683e-4,0.5739278626887493
-801249832338e7,7510.714375,5514289.5,0,0,0,0,0,1,0,1,0,0,0,0,1752.5,40,35,1,0.14285715,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0.014466773709958924,0.0015422363151054706,0.5059861030295555
-798658895888e7,399.03,10463845,0,0,0,1,0,0,0,0,0,0,0,1,330,100,26,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0.03260730105428388,0.001727419021637743,0.4535069582209684
-798001239887e7,3618.8972,3594123,0,0,0,0,1,0,1,0,0,0,0,0,1140,100,47,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.009743159409522317,0.002124325630585567,0.47804782117079975
-79002208411e8,28.739466,5520235,0,0,1,0,0,0,0,1,0,0,0,0,330,100,60,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0.013451533407438031,5.836586861663058e-4,0.5959198656639854
-786008894827e7,6160.916,42124526,0,1,0,0,0,0,0,0,1,0,0,0,2130,50,40,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0.017520143863473732,3.6399972437140904e-4,0.49435053209496055
-784767247664e7,1747.8,80117465,0,0,0,0,1,0,0,0,0,0,1,0,1200,100,54,1,0.2857143,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.015800884961278572,3.698809204730123e-4,0.5315659847517591
-779478748521e7,18615.261875,42125372.5,0,1,0,0,0,0,0,0,1,0,0,0,4565,90,44,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.009254337926989181,0.0011139206254699176,0.4476602906301153
-775478139824e7,6331.5898,78131711,0,0,0,1,0,0,0,0,0,1,0,0,4380,100,20,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0.007263557143312481,3.9606237127701394e-4,0.47010051535593267
-762382285289e7,2103.54,42125170,0,0,0,0,0,1,0,0,1,0,0,0,2e3,100,39,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0.00702120313296581,1.8894434127679475e-4,0.5898760776579186
-760758888563e7,3391.6371,78134211.5,0,0,0,0,0,1,0,0,0,1,0,0,860,80,47,3,0.5714286,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0.017000481086708655,3.9565226141337947e-4,0.5142757859425514
-756564202483e7,3765.6899,3594294,0,0,0,0,1,0,1,0,0,0,0,0,2810,90,52,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,-0.010176117326785193,0.0015769349012760823,0.5453897061294799
-754390261763e7,589.01001,78134445,1,0,0,0,0,0,0,0,0,1,0,0,340,100,22,1,0.14285715,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0.009861439080769998,0.0014942191370952928,0.5877328916858963
-7.5098231246000005e+018,556.96002,80117216,0,0,1,0,0,0,0,0,0,0,1,0,400,50,57,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0.013933681233316727,6.695735340610004e-4,0.5579472105591778
